Report Mai 2026 - alle Benutzer, gruppiert nach Tagen
Repos: ImagingTools/Acf, ImagingTools/AcfSln, ImagingTools/ImtCore, ImagingTools/Agentino

2026-05-01 (1 Commits)
- [ImagingTools/ImtCore] ff12962 | kucherenkord-cyber | Merge pull request #439 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] aa6fabf | kucherenkord-cyber | Merge branch 'main' into copilot/implement-roleview-userview-usergroupview
- [ImagingTools/ImtCore] ad13b86 | Copilot | refactor: replace removeFn property var with overridable function removeItem(id)
- [ImagingTools/ImtCore] ade3d93 | Copilot | Move update flush to DocumentDecorator.onSave(); remove custom startSaveDocument listeners
- [ImagingTools/ImtCore] b5087de | Copilot | Extract common Tenant page components to reduce duplication
- [ImagingTools/ImtCore] b961ca5 | Copilot | Fix CAuthenticationManagerComp cache staleness after SelectTenant
- [ImagingTools/ImtCore] d6f82a8 | Copilot | Add operationContext support to CollectionDocumentService for tenant/owner propagation
- [ImagingTools/ImtCore] d80565f | Copilot | Fix operationContext in CCollectionDocumentServiceControllerComp: create directly from gqlRequest instead of using COperationContextControllerComp (which relies on QueryInterface<IGqlRequestProvider> unavailable in CollectionDocumentManager context)
- [ImagingTools/ImtCore] dbac84a | kucherenkord-cyber | Code fix
- [ImagingTools/ImtCore] dca80c7 | Copilot | Add single-document gql workspace built on CollectionDocumentManager pipeline

2026-05-27 (52 Commits)
- [ImagingTools/AcfSln] 275e0bf | Copilot | Fix ComboBox population when CCachedAttributeStaticInfo::GetAttributeDefaultValue returns NULL
- [ImagingTools/ImtCore] 0654fdd | Copilot | Address PR review: invitation notifications, Owner display, Switch/Leave, binding loop, role chip removal
- [ImagingTools/ImtCore] 0b3f000 | kirill-lepski | Merge pull request #542 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] 141c1f9 | kucherenkord-cyber | Merge branch 'main' into copilot/implement-roleview-userview-usergroupview
- [ImagingTools/ImtCore] 157464c | Copilot | refactor: rename CTenantMembershipPublisherComp → CTenantNotificationPublisherComp and add ITenantInvitationManager observation
- [ImagingTools/ImtCore] 1882f7c | Copilot | Replace TextMetrics with implicitWidth in ItemSelectElementView.qml chip sizing
- [ImagingTools/ImtCore] 19c2fe4 | Copilot | Address PR feedback: revert client perms, fix filter/Creator/RoleView/StackHeader/MemberList
- [ImagingTools/ImtCore] 1b7b35b | Copilot | Stabilize FilterableSelectPopup height during initial load
- [ImagingTools/ImtCore] 2d15e0c | kucherenkord-cyber | Merge branch 'main' into copilot/popup-infrastructure-development
- [ImagingTools/ImtCore] 3024925 | Copilot | refactor: implement lazy registration for CPublisherSubscriberBridgeComp
- [ImagingTools/ImtCore] 3061842 | Copilot | fix: move Owner visibility logic to server, remove forced QML insertion
- [ImagingTools/ImtCore] 3dda43a | Copilot | Add lazy cleanup of expired sessions on new session creation
- [ImagingTools/ImtCore] 41c8212 | Copilot | Add server-side tenant permission checks in CTenantCollectionDocumentServiceControllerComp
- [ImagingTools/ImtCore] 4272d78 | Copilot | Fix Qt 6.11 QUuid braces compatibility across database layer
- [ImagingTools/ImtCore] 4c30200 | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] 4e7ea9b | Copilot | feat(imtcontrols): add Popup + Menu infrastructure (stages 1-2)
- [ImagingTools/ImtCore] 5583567 | kirill-lepski | Merge pull request #544 from ImagingTools/copilot/fix-uuid-field-conversion
- [ImagingTools/ImtCore] 5da12aa | kucherenkord-cyber | Merge branch 'copilot/tenant' of https://github.com/ImagingTools/ImtCore into copilot/tenant
- [ImagingTools/ImtCore] 5f9e416 | kucherenkord-cyber | Merge pull request #534 from ImagingTools/copilot/implement-roleview-userview-usergroupview
- [ImagingTools/ImtCore] 61eebaa | kucherenkord-cyber | QML corrected
- [ImagingTools/ImtCore] 632d25d | Copilot | fix(menu): address code review - remove unreachable branch and dead Loader
- [ImagingTools/ImtCore] 6798565 | Copilot | style(menu/popup): use Style tokens for all bare numbers/colors
- [ImagingTools/ImtCore] 6c47847 | Copilot | Move all notification handling into GqlBasedTenantManagementApiClient
- [ImagingTools/ImtCore] 6d0a34b | Copilot | fix: simplify QML __rebuildCombinedModel - server handles Creator filtering
- [ImagingTools/ImtCore] 7656dfe | kucherenkord-cyber | Cosmetics
- [ImagingTools/ImtCore] 76f4a83 | legend-of-today | Mdbx: document table reopen method added
- [ImagingTools/ImtCore] 779898f | Artur1309 | Merge branch 'main' into JQ-update
- [ImagingTools/ImtCore] 781bb7e | Copilot | Restrict tenant commands: New only without org, Edit only for current tenant, Remove triggers Leave
- [ImagingTools/ImtCore] 7e167fb | Copilot | refactor: CTenantNotificationPublisherComp inherits protected imod::TMultiModelObserverBase
- [ImagingTools/ImtCore] 81784c6 | Copilot | fix: add missing #include <imtdb/imtdb.h> for VariantToByteArray in 4 files
- [ImagingTools/ImtCore] 8b7e2e5 | kucherenkord-cyber | QML corrected
- [ImagingTools/ImtCore] 8bbeb7f | Copilot | Restrict member management to Admin/Owner/Creator and fix invitation popup loading
- [ImagingTools/ImtCore] 8ca0132 | Copilot | Address code review feedback
- [ImagingTools/ImtCore] 97b85fc | kucherenkord-cyber | Merge branch 'main' into copilot/implement-roleview-userview-usergroupview
- [ImagingTools/ImtCore] 98dc94a | Copilot | Fix StackViewHeader name update, add filter debounce, fix Owner in Members, fix publisher cache init
- [ImagingTools/ImtCore] a02e253 | Copilot | Address PR feedback: auto-select new tenant, role/removed subscriptions, UserView isNew, RoleView permissions reapply, suppress phantom invites
- [ImagingTools/ImtCore] a285fe3 | Copilot | Fix groups/roles showing as 'no name' after creation from TenantEditor
- [ImagingTools/ImtCore] a571b3d | kucherenkord-cyber | Merge pull request #538 from ImagingTools/copilot/develop-solution-for-session-expiry
- [ImagingTools/ImtCore] a7a33f7 | Copilot | Remove unused TenantMembershipSubscriptionClient (functionality now in GqlBasedTenantManagementApiClient)
- [ImagingTools/ImtCore] a87637b | Copilot | Refactor BasicTreeView: optimize and finish editing mechanism
- [ImagingTools/ImtCore] aa30e7b | Artur1309 | update package, add Layouts
- [ImagingTools/ImtCore] aa61705 | Artur1309 | add arrow func and args in slots
- [ImagingTools/ImtCore] aad790d | Copilot | style(popup): use legacy signal handler syntax (implicit args)
- [ImagingTools/ImtCore] bd04258 | Copilot | fix: defer FilterableSelectPopup initial fetch when dataProvider is not yet available
- [ImagingTools/ImtCore] bd5896e | Copilot | Address code-review nits: consistent loop vars, fallback for falsy id in chip remove
- [ImagingTools/ImtCore] da3db91 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] e332838 | Copilot | style(menu/popup): use block form for all signal handlers
- [ImagingTools/ImtCore] e355a88 | Copilot | refactor: replace inline function syntax with named function for documentNameResolver
- [ImagingTools/ImtCore] ef0e968 | Artur1309 | Merge branch 'main' into JQ-update
- [ImagingTools/ImtCore] efe90ac | kucherenkord-cyber | Code corrected
- [ImagingTools/ImtCore] f227ce2 | Copilot | Fix initial data fetch for roles/groups/users list in TenantSimpleCollectionPage
- [ImagingTools/ImtCore] f43eb47 | Copilot | revert: CTenantNotificationPublisherComp back to TSingleModelObserverBase (not TMultiModelObserverBase)

2026-05-28 (41 Commits)
- [ImagingTools/AcfSln] 70eafea | Copilot | Refactor: use else-if chain for mutually exclusive dynamic_cast checks
- [ImagingTools/AcfSln] 8bd6a62 | kirill-lepski | Merge pull request #51 from ImagingTools/copilot/bugfix-composite-attribute-issue
- [ImagingTools/AcfSln] a2514b2 | Copilot | Fix: set attribute value in ConnectReferences after auto-creating attribute
- [ImagingTools/ImtCore] 01777e4 | Copilot | Override OnGetOpenedDocumentList in CTenantCollectionDocumentServiceControllerComp to filter by session tenantId
- [ImagingTools/ImtCore] 01e6797 | Copilot | refactor: remove version struct from generated code, add version to namespace
- [ImagingTools/ImtCore] 0d2ad32 | Copilot | chore(imtcontrols): remove PopupGallery (Window not allowed)
- [ImagingTools/ImtCore] 117c279 | Copilot | refactor(imtcontrols): drop QtQuick.Window dependency from Popup stack
- [ImagingTools/ImtCore] 125b027 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 14a5e8d | Copilot | feat(popup/menu): Qt-parity keyboard & focus support
- [ImagingTools/ImtCore] 162ede3 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 16d29bb | kucherenkord-cyber | Merge branch 'main' into copilot/popup-infrastructure-development
- [ImagingTools/ImtCore] 175a7fd | kucherenkord-cyber | Merge branch 'main' into copilot/explore-codebase-and-plan-implementation
- [ImagingTools/ImtCore] 178175b | Copilot | Simplify TenantSimpleCollectionPage list model: react to dataProvider.dataChanged signal
- [ImagingTools/ImtCore] 22f9d7b | kucherenkord-cyber | Merge pull request #540 from ImagingTools/copilot/tenant
- [ImagingTools/ImtCore] 37bec8c | kucherenkord-cyber | Merge branch 'main' into copilot/tenant
- [ImagingTools/ImtCore] 3a9f3f1 | Copilot | refactor(OverlayManager): replace Behavior on opacity with explicit NumberAnimation
- [ImagingTools/ImtCore] 51cd68a | Copilot | refactor: rename PopupManager to PopupRegistry
- [ImagingTools/ImtCore] 7207d9a | legend-of-today | Merge branch 'main' into mdbx_document_table_extended
- [ImagingTools/ImtCore] 76829ce | Copilot | refactor: remove import aliases from Popup/Menu files, use full module imports
- [ImagingTools/ImtCore] 774a81a | Copilot | refactor(JQML): remove all QtQuick.Controls elements from v2 and v3
- [ImagingTools/ImtCore] 78f92e0 | kucherenkord-cyber | QML bug fixing
- [ImagingTools/ImtCore] 83a413f | legend-of-today | Merge pull request #545 from ImagingTools/mdbx_document_table_extended
- [ImagingTools/ImtCore] 83c2a9a | kucherenkord-cyber | Merge pull request #543 from ImagingTools/copilot/explore-codebase-and-plan-implementation
- [ImagingTools/ImtCore] 86bbe39 | Copilot | Fix MIME parameter regex parsing
- [ImagingTools/ImtCore] 903664d | kucherenkord-cyber | QML corrected
- [ImagingTools/ImtCore] 95263ae | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] 9982c88 | Copilot | feat: move CCollectionControllerCompBase generation from *.h to *_fwd.h
- [ImagingTools/ImtCore] 99e8b0b | Copilot | refactor(JQML): remove Menu/Popup and all derived types from v2 and v3
- [ImagingTools/ImtCore] a0c64fd | Copilot | refactor: replace dotted module imports with relative directory imports
- [ImagingTools/ImtCore] a126c78 | Copilot | fix(Menu): replace implicitWidth JS block binding with function call
- [ImagingTools/ImtCore] a7f06a6 | kucherenkord-cyber | Merge branch 'main' into mdbx_document_table_extended
- [ImagingTools/ImtCore] a94163b | kucherenkord-cyber | Merge branch 'main' into copilot/explore-codebase-and-plan-implementation
- [ImagingTools/ImtCore] b31556c | Copilot | refactor(imtcontrols): avoid ListView.view.width in Menu delegates
- [ImagingTools/ImtCore] b729ecf | SERZSH1909 | Enhance MIME type handling: return subtype if suffix is empty in GetExtensionFromMimeType
- [ImagingTools/ImtCore] b8977ae | Copilot | update reference test data to match new namespace and class format
- [ImagingTools/ImtCore] d652122 | kucherenkord-cyber | Merge branch 'main' into copilot/popup-infrastructure-development
- [ImagingTools/ImtCore] dbb0e75 | kucherenkord-cyber | QML cosmetics
- [ImagingTools/ImtCore] e014d59 | Artur1309 | Merge branch 'main' into JQ-update
- [ImagingTools/ImtCore] f07f9b3 | Copilot | chore: remove node_modules from tracked files
- [ImagingTools/ImtCore] f423262 | Artur1309 | Merge pull request #546 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] ff6613e | VekhterAleksandr | QML. Combobox shortcuts corrected

2026-05-29 (43 Commits)
- [ImagingTools/AcfSln] 28335c8 | kirill-lepski | Merge pull request #50 from ImagingTools/copilot/fix-combobox-attribute-issue
- [ImagingTools/AcfSln] b0d5291 | Copilot | Don't show default value for reference/factory attributes in Value column
- [ImagingTools/AcfSln] bfa966d | Copilot | Merge branch 'main' into copilot/fix-combobox-attribute-issue
- [ImagingTools/AcfSln] edd4c41 | Copilot | Fix ConnectReferences: set attribute value to componentRole after creation
- [ImagingTools/ImtCore] 085ddb2 | Artur1309 | fix Menu
- [ImagingTools/ImtCore] 0d7048e | Copilot | Fix enum type qualification in TElementList: use bare schema namespace comparison and replace old ConvertTypeWithNamespace calls
- [ImagingTools/ImtCore] 1f90e5a | kucherenkord-cyber | QML corrected
- [ImagingTools/ImtCore] 2b25474 | Copilot | Fix array field qualification in CSdlQObjectGeneratorComp: qualify field access with class name (e.g., CTenantPermissionOption::children)
- [ImagingTools/ImtCore] 2d6528e | Copilot | Add custom type includes to generated *_fwd.h files
- [ImagingTools/ImtCore] 31d289b | kucherenkord-cyber | MenuBar code corrected
- [ImagingTools/ImtCore] 457b0a8 | Copilot | Adapt FeatureEditor.qml and ProductView.qml to new BasicTreeView API
- [ImagingTools/ImtCore] 4bd50ca | kucherenkord-cyber | Merge branch 'main' into copilot/imtcontrols-analyze-basic-tree-view
- [ImagingTools/ImtCore] 61d5f9b | Copilot | Remove backward-compat bridge, use new BasicTreeView API directly in consumers
- [ImagingTools/ImtCore] 66680bd | Copilot | fix: use deterministic counter for key generation instead of Math.random()
- [ImagingTools/ImtCore] 673f4d0 | Copilot | Phase 1: Merge all 7 SQLite-specific methods into CSqlDatabaseDocumentDelegateComp with IsSQLite() branching
- [ImagingTools/ImtCore] 70883c5 | kucherenkord-cyber | Merge branch 'copilot/imtcontrols-analyze-basic-tree-view' of https://github.com/ImagingTools/ImtCore into copilot/imtcontrols-analyze-basic-tree-view
- [ImagingTools/ImtCore] 73bca54 | Copilot | Merge remote-tracking branch 'origin/main' into copilot/research-code-generation-pipeline
- [ImagingTools/ImtCore] 855b577 | Copilot | Fix namespace paths in TJsonRepresentationControllerWrap controllers: sdl::imtbase::Schema::CType::V1_0 → sdl::V1_0::imtbase::CType
- [ImagingTools/ImtCore] 8630f10 | kucherenkord-cyber | Merge branch 'main' into copilot/imtcontrols-analyze-basic-tree-view
- [ImagingTools/ImtCore] 870e5b8 | Artur1309 | update Flow
- [ImagingTools/ImtCore] 87ca9c8 | Copilot | fix: transform all remaining sdl::ns::Schema::CClass namespace paths to sdl::V1_0::ns::CClass
- [ImagingTools/ImtCore] 8b9da28 | Copilot | Changes before error encountered
- [ImagingTools/ImtCore] 8bd3ed3 | Copilot | Fix static_cast namespace qualification in CSdlQObjectGeneratorComp.cpp: use decltype instead of hardcoded class names
- [ImagingTools/ImtCore] 929362f | Copilot | Fix typo: baseSelelectionQuery -> baseSelectionQuery
- [ImagingTools/ImtCore] 95299d5 | Copilot | Remove .h extension from SDL-generated includes in manually-written header files
- [ImagingTools/ImtCore] 988dc8f | kucherenkord-cyber | QML corrected
- [ImagingTools/ImtCore] 9abe959 | Copilot | Remove if(field) check and return QVariant() from Get functions in QObject code generator
- [ImagingTools/ImtCore] 9dbd401 | kucherenkord-cyber | JS corrected
- [ImagingTools/ImtCore] a46db1a | Copilot | Fix custom type includes in _fwd.h to use _fwd.h suffix
- [ImagingTools/ImtCore] a68fef3 | Copilot | Eliminate CSqlite auth delegate subclasses; merge into unified delegates
- [ImagingTools/ImtCore] adf9b87 | Copilot | Fix SDL C++ code generator: enum type qualification, ObjectList field access, and update all reference test data
- [ImagingTools/ImtCore] b3f1b09 | Artur1309 | Merge pull request #551 from ImagingTools/JQ-update
- [ImagingTools/ImtCore] baee84f | kucherenkord-cyber | Merge branch 'main' into copilot/popup-infrastructure-development
- [ImagingTools/ImtCore] bbf0ce3 | Artur1309 | add implicitWidth/implicitHeight move easing and easingGroup
- [ImagingTools/ImtCore] bc66bd3 | victorscherbina | Code corrected
- [ImagingTools/ImtCore] c7f021b | Copilot | Phase 2: Update PCK, subclasses, ACC files; delete CSqliteDatabaseDocumentDelegateComp
- [ImagingTools/ImtCore] cbcf52c | Copilot | Fix remaining namespace Filter aliases in CComplexCollectionFilterRepresentationController.cpp
- [ImagingTools/ImtCore] d093e61 | Artur1309 | update ListView
- [ImagingTools/ImtCore] d8559a1 | Copilot | restore node_modules to match main (remove from PR diff)
- [ImagingTools/ImtCore] d985580 | Copilot | Change CGraphQlHandlerCompBase class name to C + filename + GqlHandlerCompBase
- [ImagingTools/ImtCore] e6ddd77 | kucherenkord-cyber | Merge branch 'copilot/popup-infrastructure-development' of https://github.com/ImagingTools/ImtCore into copilot/popup-infrastructure-development
- [ImagingTools/ImtCore] e98ae1a | victorscherbina | Code corrected
- [ImagingTools/ImtCore] f50eec7 | Copilot | Expand Get function assignment to per-member in QObject generator

2026-05-30 (16 Commits)
- [ImagingTools/ImtCore] 008b29a | Copilot | Adapt all controller code: remove Version_1_0, fix namespace sdl::V1_0::ns format
- [ImagingTools/ImtCore] 300c957 | Copilot | Move SDL enum class generation from .h to _fwd.h declarations file
- [ImagingTools/ImtCore] 31947f7 | Copilot | Rename CGraphQlHandlerCompBase to schema-specific GqlHandlerCompBase names in all controllers
- [ImagingTools/ImtCore] 34313cf | Copilot | Move SDL enum class generation to _fwd.h declarations file
- [ImagingTools/ImtCore] 47b073e | Copilot | Move RegisterQmlTypes() generation from *_fwd.h to *.h file
- [ImagingTools/ImtCore] 4d718d7 | victorscherbina | Code corrected
- [ImagingTools/ImtCore] 6484b01 | victorscherbina | Code corrected
- [ImagingTools/ImtCore] 6a5d4c4 | Copilot | Merge remote-tracking branch 'origin/main' into copilot/imtcontrols-analyze-basic-tree-view
- [ImagingTools/ImtCore] 7061299 | Copilot | fix: adapt test controller code to new SDL structures (remove V1_0 struct, rename GqlHandler, fix includes)
- [ImagingTools/ImtCore] 77f84cd | kucherenkord-cyber | Merge pull request #541 from ImagingTools/copilot/imtcontrols-analyze-basic-tree-view
- [ImagingTools/ImtCore] 82fd92b | Copilot | Fix namespace aliases: sdl::ns::SchemaName → sdl::V1_0::ns in controllers
- [ImagingTools/ImtCore] 90aa2ce | Copilot | Wrap RequestArguments struct fields with istd::TSharedNullable<>
- [ImagingTools/ImtCore] 9c39c1f | Copilot | Add #include of _fwd.h (enum classes) to generated *.h files
- [ImagingTools/ImtCore] b1cab93 | victorscherbina | Code corrected
- [ImagingTools/ImtCore] c49fe5a | victorscherbina | Code corrected
- [ImagingTools/ImtCore] f37090f | kucherenkord-cyber | Merge pull request #539 from ImagingTools/copilot/popup-infrastructure-development

2026-05-31 (14 Commits)
- [ImagingTools/Agentino] 10b52b1 | Copilot | Adapt SDL-using code to ImtCore conventions; use *_fwd.h in headers
- [ImagingTools/Agentino] 11d5d94 | Copilot | Align OnGetObjectVisualStatus error path with ImtCore canonical pattern
- [ImagingTools/ImtCore] 120a3cc | Copilot | fix: emit RegisterQmlTypes() only in generated *.h, not *_fwd.h
- [ImagingTools/ImtCore] 16ecee1 | victorscherbina | Code corrected
- [ImagingTools/ImtCore] 3cc1d24 | Copilot | Fix LNK2005: Move duplicate SessionId type to ImtBaseTypes.sdl
- [ImagingTools/ImtCore] 3fd7f46 | victorscherbina | Code corrected
- [ImagingTools/ImtCore] 66aebd3 | Copilot | Qualify simple-type member access with data class in QObject getters/setters
- [ImagingTools/ImtCore] 7a10f77 | Copilot | fix: wrap SDL enums in schema-unique inline namespace to avoid duplicate Q_NAMESPACE moc symbols
- [ImagingTools/ImtCore] 8277c57 | Copilot | Rename duplicate imtauth TokenInput to ValidateTokenInput to fix LNK2005
- [ImagingTools/ImtCore] a21dc01 | Copilot | Changes before error encountered
- [ImagingTools/ImtCore] b7fa02a | Copilot | Qualify subfield access with class name in generated QObject getters
- [ImagingTools/ImtCore] def5ccf | Copilot | fix: add _fwd.h to SDL static deps for moc processing
- [ImagingTools/ImtCore] fe5dfa2 | Copilot | feat: include SDL schema name in generated RegisterQmlTypes function name
- [ImagingTools/ImtCore] fefee80 | Copilot | fix: exclude _fwd.h from qt6_wrap_cpp to prevent duplicate moc symbols

